id,question,rating_raw,respT,type,isTrue,correct,confidence
18,UoE_1_10,6,0,science,1,0,3
18,UoE_1_11,5,0,science,1,0,2
18,UoE_1_12,1,1,science,1,1,3
18,UoE_1_13,1,1,science,1,1,3
18,UoE_1_14,2,1,science,0,0,2
18,UoE_1_15,2,1,covid,0,0,2
18,UoE_1_16,6,0,covid,0,1,3
18,UoE_1_17,6,0,covid,0,1,3
18,UoE_1_18,6,0,covid,0,1,3
18,UoE_1_19,6,0,covid,0,1,3
18,UoE_1_20,6,0,covid,0,1,3
18,UoE_1_21,1,1,covid,1,1,3
18,UoE_1_22,2,1,covid,1,1,2
18,UoE_1_23,2,1,covid,1,1,2
18,UoE_1_24,3,1,covid,1,1,1
18,UoE_1_25,6,0,covid,0,1,3
18,UoE_1_26,2,1,covid,1,1,2
18,UoE_1_27,2,1,covid,1,1,2
18,UoE_1_28,2,1,covid,1,1,2
19,UoE_1_1,3,1,science,0,0,1
19,UoE_1_2,4,0,science,0,1,1
19,UoE_1_3,3,1,science,0,0,1
19,UoE_1_4,3,1,science,0,0,1
19,UoE_1_5,3,1,science,0,0,1
19,UoE_1_6,6,0,science,0,1,3
19,UoE_1_7,3,1,science,1,1,1
19,UoE_1_8,5,0,science,1,0,2
19,UoE_1_9,2,1,science,1,1,2
19,UoE_1_10,3,1,science,1,1,1
19,UoE_1_11,4,0,science,1,0,1
19,UoE_1_12,4,0,science,1,0,1
19,UoE_1_13,3,1,science,1,1,1
19,UoE_1_14,4,0,science,0,1,1
19,UoE_1_15,3,1,covid,0,0,1
19,UoE_1_16,5,0,covid,0,1,2
19,UoE_1_17,6,0,covid,0,1,3
19,UoE_1_18,3,1,covid,0,0,1
19,UoE_1_19,5,0,covid,0,1,2
19,UoE_1_20,4,0,covid,0,1,1
19,UoE_1_21,1,1,covid,1,1,3
19,UoE_1_22,2,1,covid,1,1,2
19,UoE_1_23,4,0,covid,1,0,1
19,UoE_1_24,2,1,covid,1,1,2
19,UoE_1_25,6,0,covid,0,1,3
19,UoE_1_26,3,1,covid,1,1,1
19,UoE_1_27,4,0,covid,1,0,1
19,UoE_1_28,3,1,covid,1,1,1
20,UoE_1_1,4,0,science,0,1,1
20,UoE_1_2,4,0,science,0,1,1
20,UoE_1_3,3,1,science,0,0,1
20,UoE_1_4,3,1,science,0,0,1
20,UoE_1_5,3,1,science,0,0,1
20,UoE_1_6,4,0,science,0,1,1
20,UoE_1_7,3,1,science,1,1,1
20,UoE_1_8,3,1,science,1,1,1
20,UoE_1_9,2,1,science,1,1,2
20,UoE_1_10,1,1,science,1,1,3
20,UoE_1_11,4,0,science,1,0,1
20,UoE_1_12,4,0,science,1,0,1
20,UoE_1_13,2,1,science,1,1,2
20,UoE_1_14,4,0,science,0,1,1
20,UoE_1_15,4,0,covid,0,1,1
20,UoE_1_16,4,0,covid,0,1,1
20,UoE_1_17,4,0,covid,0,1,1
20,UoE_1_18,5,0,covid,0,1,2
20,UoE_1_19,5,0,covid,0,1,2
20,UoE_1_20,5,0,covid,0,1,2
20,UoE_1_21,2,1,covid,1,1,2
20,UoE_1_22,3,1,covid,1,1,1
20,UoE_1_23,1,1,covid,1,1,3
20,UoE_1_24,4,0,covid,1,0,1
20,UoE_1_25,4,0,covid,0,1,1
20,UoE_1_26,1,1,covid,1,1,3
20,UoE_1_27,2,1,covid,1,1,2
20,UoE_1_28,4,0,covid,1,0,1
21,UoE_1_1,5,0,science,0,1,2
21,UoE_1_2,5,0,science,0,1,2
21,UoE_1_3,6,0,science,0,1,3
21,UoE_1_4,5,0,science,0,1,2
21,UoE_1_5,3,1,science,0,0,1
21,UoE_1_6,6,0,science,0,1,3
21,UoE_1_7,1,1,science,1,1,3
21,UoE_1_8,1,1,science,1,1,3
21,UoE_1_9,1,1,science,1,1,3
21,UoE_1_10,1,1,science,1,1,3
21,UoE_1_11,2,1,science,1,1,2
21,UoE_1_12,1,1,science,1,1,3
21,UoE_1_13,3,1,science,1,1,1
21,UoE_1_14,2,1,science,0,0,2
21,UoE_1_15,5,0,covid,0,1,2
21,UoE_1_16,5,0,covid,0,1,2
21,UoE_1_17,6,0,covid,0,1,3
21,UoE_1_18,6,0,covid,0,1,3
21,UoE_1_19,6,0,covid,0,1,3
21,UoE_1_20,6,0,covid,0,1,3
21,UoE_1_21,1,1,covid,1,1,3
21,UoE_1_22,1,1,covid,1,1,3
21,UoE_1_23,1,1,covid,1,1,3
21,UoE_1_24,1,1,covid,1,1,3
21,UoE_1_25,6,0,covid,0,1,3
21,UoE_1_26,2,1,covid,1,1,2
21,UoE_1_27,1,1,covid,1,1,3
21,UoE_1_28,2,1,covid,1,1,2
22,UoE_1_1,5,0,science,0,1,2
22,UoE_1_2,6,0,science,0,1,3
22,UoE_1_3,2,1,science,0,0,2
22,UoE_1_4,3,1,science,0,0,1
22,UoE_1_5,2,1,science,0,0,2
22,UoE_1_6,2,1,science,0,0,2
22,UoE_1_7,5,0,science,1,0,2
22,UoE_1_8,3,1,science,1,1,1
22,UoE_1_9,1,1,science,1,1,3
22,UoE_1_10,1,1,science,1,1,3
22,UoE_1_11,6,0,science,1,0,3
22,UoE_1_12,2,1,science,1,1,2
22,UoE_1_13,1,1,science,1,1,3
22,UoE_1_14,3,1,science,0,0,1
22,UoE_1_15,1,1,covid,0,0,3
22,UoE_1_16,1,1,covid,0,0,3
22,UoE_1_17,6,0,covid,0,1,3
22,UoE_1_18,6,0,covid,0,1,3
22,UoE_1_19,1,1,covid,0,0,3
22,UoE_1_20,5,0,covid,0,1,2
22,UoE_1_21,1,1,covid,1,1,3
22,UoE_1_22,1,1,covid,1,1,3
22,UoE_1_23,6,0,covid,1,0,3
22,UoE_1_24,3,1,covid,1,1,1
22,UoE_1_25,6,0,covid,0,1,3
22,UoE_1_26,5,0,covid,1,0,2
22,UoE_1_27,1,1,covid,1,1,3
22,UoE_1_28,2,1,covid,1,1,2
